Journal,Publisher
National Science Foundation,
Hong Kong Research Grant Council,
Acta Geotechnica,Springer
Canadian Geotechnical Journal,Canadian Science Publishing
Computers and Geomechanics,Elsevier
Construction and Building Materials,Elsevier
Engineering Geology,Elsevier
Geotechnical Testing Journal,ASTM
G̩otechnique,ICE
Granular Matter,Springer
International Journal of Heat and Mass Transfer,Elsevier
International Journal for Numerical and Analytical Methods in Geomechanics,Wiley
International Journal of Geomechanics,ASCE
International Journal of Geosynthetics and Ground Engineering,Springer
International Journal of Geotechnical Engineering,Taylor and Francis
Journal of Aerospace Engineering,ASCE
Journal of Geotechnical and Geoenvironmental Engineering,ASCE
Journal of Hydraulic Engineering,ASCE
Journal of Infrastructure Preservation and Resilience,Springer
Journal of Infrastructure Systems,ASCE
Journal of Materials in Civil Engineering,ASCE
Journal of Testing and Evaluations,ASTM
Journal of Transportation Engineering,ASCE
Journal of Renewable and Sustainable Energy,AIP
Materials and Design,Elsevier
Microsystem Technologies,Springer
Natural Hazards,Springer
Ocean Engineering,Elsevier
Powder Technology,Elsevier
Science Robotics,Science Magzine
Sensors,MDPI
"Smart Structures and Systems,  An International Journal",Techno Press
Regular reviewer for conferences," ASCE, TRB, ISSMGE"
